stationID,lat,long,hidxbc_date_1_time_00Z,hidxbc_date_1_time_03Z,hidxbc_date_1_time_06Z,hidxbc_date_1_time_09Z,hidxbc_date_1_time_12Z,hidxbc_date_1_time_15Z,hidxbc_date_1_time_18Z,hidxbc_date_1_time_21Z,hidxbc_date_2_time_00Z,hidxbc_date_2_time_03Z,hidxbc_date_2_time_06Z,hidxbc_date_2_time_09Z,hidxbc_date_2_time_12Z,hidxbc_date_2_time_15Z,hidxbc_date_2_time_18Z,hidxbc_date_2_time_21Z,hidxbc_date_3_time_00Z,hidxbc_date_3_time_03Z,hidxbc_date_3_time_06Z,hidxbc_date_3_time_09Z,hidxbc_date_3_time_12Z,hidxbc_date_3_time_15Z,hidxbc_date_3_time_18Z,hidxbc_date_3_time_21Z,hidxbc_date_4_time_00Z,hidxbc_date_4_time_03Z,hidxbc_date_4_time_06Z,hidxbc_date_4_time_09Z,hidxbc_date_4_time_12Z,hidxbc_date_4_time_15Z,hidxbc_date_4_time_18Z,hidxbc_date_4_time_21Z,hidxbc_date_5_time_00Z,hidxbc_date_5_time_03Z,hidxbc_date_5_time_06Z,hidxbc_date_5_time_09Z,hidxbc_date_5_time_12Z,hidxbc_date_5_time_15Z,hidxbc_date_5_time_18Z,hidxbc_date_5_time_21Z,hidxbc_date_6_time_00Z,hidxbc_date_6_time_03Z,hidxbc_date_6_time_06Z,hidxbc_date_6_time_09Z,hidxbc_date_6_time_12Z,hidxbc_date_6_time_15Z,hidxbc_date_6_time_18Z,hidxbc_date_6_time_21Z,hidxbc_date_7_time_00Z,hidxbc_date_7_time_03Z,hidxbc_date_7_time_06Z,hidxbc_date_7_time_09Z,hidxbc_date_7_time_12Z,hidxbc_date_7_time_15Z,hidxbc_date_7_time_18Z,hidxbc_date_7_time_21Z,hidxbc_date_8_time_00Z,hidxbc_date_8_time_03Z,hidxbc_date_8_time_06Z,hidxbc_date_8_time_09Z,hidxbc_date_8_time_12Z,hidxbc_date_8_time_15Z,hidxbc_date_8_time_18Z,hidxbc_date_8_time_21Z,hidxbc_date_9_time_00Z,hidxbc_date_9_time_03Z,hidxbc_date_9_time_06Z,hidxbc_date_9_time_09Z,hidxbc_date_9_time_12Z,hidxbc_date_9_time_15Z,hidxbc_date_9_time_18Z,hidxbc_date_9_time_21Z,hidxbc_date_10_time_00Z,hidxbc_date_10_time_03Z,hidxbc_date_10_time_06Z,hidxbc_date_10_time_09Z,hidxbc_date_10_time_12Z
48565,98.31667,8.11667,30.3418,30.1065,32.5239,27.8015,32.0007,30.7545,30.5574,28.598,24.3186,29.4129,39.0426,42.4218,27.9122,38.5475,47.593,43.0654,40.7301,44.9243,27.8475,42.2161,42.1819,45.6914,33.1287,48.0998,39.8213,43.8515,42.2051,38.1405,46.5875,42.9241,42.9134,41.1485,34.1995,47.1848,42.1474,43.4363,40.8483,36.1413,37.7763,51.3807,35.4255,28.3343,26.4774,35.3136,36.4256,36.6389,35.4275,31.8924,36.3552,35.4837,33.5107,33.646,36.7449,31.1763,32.3814,32.9784,33.9644,31.6322,34.4669,33.4218,33.5086,32.7213,34.2497,32.1015,31.7531,31.3217,32.7034,32.2609,31.3244,29.5569,28.8584,30.6754,31.2167,30.1894,31.1777,29.2285,31.6981
48566,99.05,7.53333,29.9054,30.0373,31.645,23.8749,30.0431,30.5998,28.3021,29.9198,20.293,30.5801,40.2993,36.0888,42.2981,28.504,42.0447,41.1674,39.4118,31.8331,36.5859,36.1805,43.1293,46.5944,39.4392,37.2441,45.5881,45.9007,42.6497,47.7513,29.9987,35.2006,38.3111,38.1442,35.127,42.6294,40.3857,37.1533,38.6117,47.1962,42.7264,35.1935,35.5335,32.4614,35.9966,30.3298,33.2181,32.0531,32.701,26.874,32.6683,30.44,31.0436,30.5296,27.1181,33.5639,32.3902,31.6432,30.4566,32.6247,29.6119,29.9793,30.0565,29.9925,31.877,30.5201,21.0994,31.0129,29.056,27.8429,29.4101,29.2063,36.5246,29.8547,30.0744,26.9221,29.1714,29.4627,25.2788
48567,99.61667,7.51667,25.9022,25.2728,27.1193,27.9127,28.1913,25.6658,26.8538,26.5999,28.0181,28.0988,38.2205,30.2737,36.3109,31.1467,31.7356,35.8964,34.4193,31.7621,26.4903,34.8674,37.9248,38.369,29.916,29.5257,34.7817,37.3624,33.9609,31.1694,25.5694,35.6733,34.192,33.8299,30.7741,33.0909,36.1643,34.907,34.5132,33.6942,28.4257,33.5105,35.3414,36.7073,29.7564,33.7718,34.9231,35.9149,35.0399,36.0515,31.975,33.0831,31.933,33.5111,31.3698,31.8237,30.365,31.1693,32.9882,31.6011,31.9294,29.7237,30.0884,30.4739,31.1166,27.2934,29.6339,30.2563,30.5103,31.7589,27.5572,28.5037,29.0752,28.9451,27.3678,27.6313,25.2959,28.9113,28.7737
48568,100.60472,7.20389,27.9635,28.555,31.0156,29.9984,30.3795,29.7406,31.5204,28.8773,29.2101,30.0291,37.2189,37.7886,36.9263,34.1353,37.2701,37.1933,37.3897,39.9149,29.3037,37.1399,39.6742,36.007,34.7032,39.7589,38.6323,35.7526,37.1391,35.5353,37.268,38.1284,38.8104,36.1049,36.4762,35.6845,41.4755,39.8119,33.4714,27.4146,27.5477,35.7528,34.6711,32.6062,33.8942,34.3807,35.3543,33.3579,35.5917,29.3388,33.405,30.2989,29.8572,31.9553,29.6351,30.8062,29.9705,31.1237,25.2681,28.6124,28.4721,28.69,29.6031,30.0319,30.231,29.1283,30.3027,29.6754,29.7166,31.7384,28.5822,30.0515,29.4036,28.7473,28.1216,30.4983,29.7728,28.4994,30.2352
48569,100.43333,6.91667,24.6099,23.9287,25.514,25.1583,24.7846,25.794,25.0108,25.406,24.4191,26.5579,37.2552,32.7324,34.4948,33.7242,33.3713,37.1571,38.2931,33.2491,35.9339,30.8337,38.5996,39.1876,36.4011,36.3445,35.3028,24.7431,42.8226,33.7425,26.1811,40.0901,35.176,38.0062,34.2648,49.8534,29.7638,39.0719,30.6049,31.5734,29.4163,26.1888,33.2424,33.4618,30.6527,31.9755,33.0282,29.8307,33.4375,31.7188,23.6967,29.5589,27.9587,27.8529,29.5925,26.1958,28.2314,29.8421,29.6702,29.1319,29.6093,26.2319,27.2085,27.291,25.9228,26.3006,27.7142,27.835,26.9472,27.3922,25.6562,25.8568,25.2636,25.0561,25.7901,26.0564,23.5874,26.3209,26.5479
48570,100.08333,6.65,27.3143,30.0261,29.7974,29.9457,29.6413,28.8463,28.5969,29.6271,28.3305,29.5311,32.0659,37.0287,38.3206,38.5206,36.4557,38.1215,34.6973,36.5048,29.5532,29.5904,36.8813,37.3626,39.7806,36.5766,36.9755,36.2914,32.9522,37.1421,37.0456,37.0605,36.0534,36.7237,37.8894,32.1837,31.75,36.8798,31.9358,28.5311,38.8119,36.8657,37.5581,39.0065,37.6346,36.6535,37.7578,38.6974,35.0797,36.3298,35.2382,37.1633,32.2243,33.1519,33.4038,32.7722,31.9274,33.1162,33.5022,32.7601,32.9873,29.5758,30.4019,29.0146,31.2018,29.6741,31.5971,30.5364,29.843,30.5816,28.6994,27.7549,28.836,29.6386,28.5079,30.444,28.0209,29.6112,30.3508
48571,100.5,7.01667,26.2303,26.9146,27.6874,27.9386,26.595,28.1569,28.0781,26.8777,27.9508,28.0987,38.4187,34.623,38.3267,35.8594,37.2478,38.197,39.2895,35.045,34.8017,33.8037,38.9978,41.6324,37.7328,32.6332,34.6709,31.4393,40.2487,41.481,32.5775,40.35,38.4328,34.7799,33.4689,38.2878,39.3469,38.5833,33.0285,28.4387,28.3317,33.6427,32.9249,30.4435,32.4456,32.5616,29.8573,31.2118,32.9772,31.3192,27.9597,30.0627,30.1454,30.3563,30.8896,29.7236,31.2478,32.8171,31.9265,29.3003,31.0436,29.568,29.451,29.9925,28.4408,29.4511,30.7334,29.833,28.7097,30.0053,27.7945,27.7707,27.2613,27.4118,28.8274,29.0457,27.36,27.0664,29.334
48574,100.39055,6.7936,24.1825,23.5053,25.0394,24.7171,24.2858,25.4139,24.5624,24.9371,24.0318,26.0841,38.0925,33.6778,35.3085,34.6372,34.4875,37.9272,39.3389,34.2383,36.8656,31.4999,40.3638,40.8065,38.0255,38.3648,37.1024,26.6517,44.4822,35.5394,28.7517,41.8238,36.8373,40.1251,35.7835,54.1312,30.638,41.4521,31.6468,32.7098,30.2936,26.5978,34.4223,34.6696,31.4664,33.0326,34.1846,30.519,34.666,32.7162,23.8806,30.2405,28.1718,28.0829,29.6869,26.5776,28.406,29.915,29.7492,29.2742,29.6936,26.4925,27.5443,27.5985,26.3992,26.6993,27.9864,28.0749,27.1981,27.7086,25.9468,26.1087,25.6138,25.4564,26.0722,26.3545,24.0187,26.568,26.7546
48580,101.15,6.78333,25.3313,24.9663,25.0023,25.3952,25.3817,24.9375,25.7472,26.0009,25.5981,24.5534,37.2335,37.0398,41.9065,36.7138,39.8836,41.0508,35.1328,36.3304,28.0123,36.1676,41.1101,40.5947,42.1976,36.6616,43.1456,40.6384,41.0638,28.434,26.6432,39.3695,45.7771,41.2178,38.7092,39.5453,29.372,43.3581,34.667,40.0972,33.0078,36.4077,36.9277,32.4124,34.3634,33.7794,32.9871,32.8647,32.3248,28.4805,29.6643,32.6032,31.5068,32.15,29.9,28.5779,29.4212,28.9129,26.9123,29.4102,30.5052,,,,,,,,,,,,,,,,,,
48581,101.28333,6.51667,24.4699,25.446,25.2498,25.446,24.9602,23.9027,25.5098,24.5317,25.3291,24.1366,35.909,36.1773,39.3083,36.9744,36.401,37.5212,32.8677,35.2035,33.0185,35.9354,41.5134,41.7124,38.2519,39.9805,40.438,40.2851,41.1562,33.8802,26.7846,38.1391,38.7428,34.2645,34.9204,37.6795,31.6474,42.1858,39.4885,40.6742,39.7176,33.4585,35.5076,33.2627,33.2683,32.4822,30.3935,30.3897,31.127,27.5361,29.8227,31.8255,27.6958,29.7998,29.6379,24.0836,28.9378,28.6664,29.122,29.431,28.2639,,,,,,,,,,,,,,,,,,
48583,101.81667,6.41667,26.0179,26.3631,27.12,26.5253,25.4747,24.7667,25.7154,26.4239,26.3008,26.328,34.8798,34.2494,36.4155,36.2542,34.3143,33.7918,34.7924,32.9843,31.7237,30.4004,37.8078,38.2877,38.4752,38.6376,38.5336,38.9413,38.156,37.1676,36.0958,37.7002,43.1292,38.6626,40.8076,34.3858,29.2769,28.6621,33.1211,35.8685,27.4989,35.497,35.8941,27.3034,37.5654,29.1627,29.8353,29.5717,30.5747,30.3459,28.1332,31.8896,30.981,30.7221,32.5913,28.1532,29.1511,33.4645,29.9144,28.8536,31.0539,,,,,,,,,,,,,,,,,,
